id,nim,nama,nik,tanggal_lahir,nama_ibu,email,no_hp,alamat,ipk,uuid
101805352365850638,221050015,A*** S*******,3**************5,2000-02-19 00:00:00 +0000 UTC,Siti Komariah,a************@email.com,081234000115,rvdVoTtx,3.63,dc6f3367-1c1c-11f1-addf-82c85b6d758e
101805352365850639,221050016,R**** K********,3**************6,2001-04-10 00:00:00 +0000 UTC,Murniati,r**************@email.com,081234000116,fHNJlkny,3.27,dc6f33a5-1c1c-11f1-addf-82c85b6d758e
101805352365850640,221050017,Y*** P*******,3**************7,2002-06-08 00:00:00 +0000 UTC,Endang,y************@email.com,081234000117,GZXqircA,3.55,dc6f3402-1c1c-11f1-addf-82c85b6d758e
101805352365850641,221050018,T***** H******,3**************8,2003-07-17 00:00:00 +0000 UTC,Nuraini,t*************@email.com,081234000118,JUDwDdYa,2.74,dc6f3448-1c1c-11f1-addf-82c85b6d758e
101805352365850642,221050019,B*** A******,3**************9,2004-09-14 00:00:00 +0000 UTC,Kartini,b***********@email.com,081234000119,yTsGvbxj,3.06,dc6f3479-1c1c-11f1-addf-82c85b6d758e
101805352365850643,221050020,R*** A*****,3**************0,1995-11-01 00:00:00 +0000 UTC,Sulasmi,r**********@email.com,081234000120,qGXXgwtW,3.48,dc6f34c5-1c1c-11f1-addf-82c85b6d758e
101805352365850644,221050021,H***** W*****,3**************1,1996-03-25 00:00:00 +0000 UTC,Rukmini,h************@email.com,081234000121,NnBuoVMv,3.19,dc6f3517-1c1c-11f1-addf-82c85b6d758e
101805352365850645,221050022,I**** R*******,3**************2,1997-05-13 00:00:00 +0000 UTC,Siti Halimah,i*************@email.com,081234000122,pAVZVLyZ,3.71,dc6f3549-1c1c-11f1-addf-82c85b6d758e
101805352365850646,221050023,B*** S****,3**************3,1998-06-23 00:00:00 +0000 UTC,Wahyuni,b*********@email.com,081234000123,fZahxIrH,3.39,dc6f3576-1c1c-11f1-addf-82c85b6d758e
101805352365850647,221050024,R*** A****,3**************4,1999-08-17 00:00:00 +0000 UTC,Aminah,r*********@email.com,081234000124,wPWXYalG,2.65,dc6f35a6-1c1c-11f1-addf-82c85b6d758e
101805352365850648,221050025,D*** G******,3**************5,2000-01-14 00:00:00 +0000 UTC,Siti Nurjanah,d***********@email.com,081234000125,lBPrNMcW,3.33,dc6f35d6-1c1c-11f1-addf-82c85b6d758e
101805352365850649,221050026,A*** S****,3**************6,2001-03-09 00:00:00 +0000 UTC,Kartika,a*********@email.com,081234000126,eKRdJJil,3.5,dc6f3602-1c1c-11f1-addf-82c85b6d758e
101805352365850650,221050027,R*** K*****,3**************7,2002-05-28 00:00:00 +0000 UTC,Nur Fitri,r**********@email.com,081234000127,PQxHRiJs,2.89,dc6f3632-1c1c-11f1-addf-82c85b6d758e
101805352365850651,221050028,S***** M*******,3**************8,2003-07-12 00:00:00 +0000 UTC,Sri Utami,s**************@email.com,081234000128,scBMlXVU,3.67,dc6f36e8-1c1c-11f1-addf-82c85b6d758e
101805352365850652,221050029,E** P*******,3**************9,2004-09-30 00:00:00 +0000 UTC,Yuliani,e***********@email.com,081234000129,phVvjKPp,3.24,dc6f3723-1c1c-11f1-addf-82c85b6d758e
101805352365850653,221050030,F***** R*****,3**************0,1995-01-01 00:00:00 +0000 UTC,Fatimah,f************@email.com,081234000130,wRGZTlNd,3.57,dc6f3784-1c1c-11f1-addf-82c85b6d758e
101805352365850654,221050031,R**** S******,3**************1,1996-02-02 00:00:00 +0000 UTC,Siti Maryam,r************@email.com,081234000131,NBWQxIGd,3.11,dc6f37d9-1c1c-11f1-addf-82c85b6d758e
101805352365850655,221050032,D*** F*********,3**************2,1997-03-03 00:00:00 +0000 UTC,Rohani,d**************@email.com,081234000132,qIiSEGBT,2.76,dc6f3804-1c1c-11f1-addf-82c85b6d758e
101805352365850656,221050033,G***** P******,3**************3,1998-04-04 00:00:00 +0000 UTC,Aisyah,g*************@email.com,081234000133,wxWfAumV,3.4,dc6f38de-1c1c-11f1-addf-82c85b6d758e
101805352365850657,221050034,R**** F*******,3**************4,1999-05-05 00:00:00 +0000 UTC,Nurul,r*************@email.com,081234000134,vKoIzNJE,3.73,dc6f3924-1c1c-11f1-addf-82c85b6d758e
101805352365850658,221050035,A*********,3**************5,2000-06-06 00:00:00 +0000 UTC,Komalasari,a*********@email.com,081234000135,lnupDVgB,2.58,dc6f3958-1c1c-11f1-addf-82c85b6d758e
101805352365850659,221050036,R*** S******,3**************6,2001-07-07 00:00:00 +0000 UTC,Nining,r***********@email.com,081234000136,QwDkiJPo,3.02,dc6f3988-1c1c-11f1-addf-82c85b6d758e
101805352365850660,221050037,A*** M******,3**************7,2002-08-08 00:00:00 +0000 UTC,Rina Sari,a***********@email.com,081234000137,QWHcMgOO,3.61,dc6f39b3-1c1c-11f1-addf-82c85b6d758e
101805352365850661,221050038,D**** P******,3**************8,2003-09-09 00:00:00 +0000 UTC,Nuraini,d************@email.com,081234000138,wxpbMOuc,3.28,dc6f39e4-1c1c-11f1-addf-82c85b6d758e
101805352365850662,221050039,H**** R*****,3**************9,2004-10-10 00:00:00 +0000 UTC,Siti Aminah,h***********@email.com,081234000139,mfhgsLAU,3.47,dc6f3a0e-1c1c-11f1-addf-82c85b6d758e
101805352365850663,221050040,F**** H******,3**************0,1995-11-11 00:00:00 +0000 UTC,Rohayati,f************@email.com,081234000140,ibrDZzuU,2.92,dc6f3a3e-1c1c-11f1-addf-82c85b6d758e
101805352365850664,221050041,Z**** A****,3**************1,1996-12-12 00:00:00 +0000 UTC,Mulyani,z**********@email.com,081234000141,bkAIyDlo,3.52,dc6f3a6a-1c1c-11f1-addf-82c85b6d758e
101805352365850665,221050042,R*** W*****,3**************2,1997-01-01 00:00:00 +0000 UTC,Yuliana,r**********@email.com,081234000142,HrhGTHRu,3.31,dc6f3a9b-1c1c-11f1-addf-82c85b6d758e
101805352365850666,221050043,B****** P******,3**************3,1998-02-02 00:00:00 +0000 UTC,Siti Nurhayati,b**************@email.com,081234000143,SSglfoFp,3.74,dc6f3ac5-1c1c-11f1-addf-82c85b6d758e
101805352365850667,221050044,G***** S******,3**************4,1999-03-03 00:00:00 +0000 UTC,Kartini,g*************@email.com,081234000144,XbcSdkRV,3.26,dc6f3af8-1c1c-11f1-addf-82c85b6d758e
101805352365850668,221050045,F**** K********,3**************5,2000-04-04 00:00:00 +0000 UTC,Nur Aisyah,f**************@email.com,081234000145,pXygQiSB,2.83,dc6f3b24-1c1c-11f1-addf-82c85b6d758e
101805352365850669,221050046,R*** M******,3**************6,2001-05-05 00:00:00 +0000 UTC,Dewi Lestari,r***********@email.com,081234000146,sbhIltrL,3.6,dc6f3b50-1c1c-11f1-addf-82c85b6d758e
101805352365850670,221050047,H**** S*******,3**************7,2002-06-06 00:00:00 +0000 UTC,Yuniarti,h*************@email.com,081234000147,pmlyarSZ,3.18,dc6f3b7b-1c1c-11f1-addf-82c85b6d758e
101805352365850671,221050048,F**** R*******,3**************8,2003-07-07 00:00:00 +0000 UTC,Fatimah,f*************@email.com,081234000148,DPEOOrnZ,3.49,dc6f3ba9-1c1c-11f1-addf-82c85b6d758e
101805352365850672,221050049,A***** N******,3**************9,2004-08-08 00:00:00 +0000 UTC,Nuraini,a*************@email.com,081234000149,OcJArKSo,3.36,dc6f3bd4-1c1c-11f1-addf-82c85b6d758e
101805352365850673,221050050,R**** F*********,3**************0,1995-09-09 00:00:00 +0000 UTC,Siti Rahma,r***************@email.com,081234000150,FFKMKDNI,3.68,dc6f3c07-1c1c-11f1-addf-82c85b6d758e
